import time: self [us] | cumulative | imported package
import time:       305 |        305 |   _io
import time:        21 |         21 |   marshal
import time:       296 |        296 |   posix
import time:      1510 |       2131 | _frozen_importlib_external
import time:       985 |        985 |   time
import time:       155 |       1140 | zipimport
import time:       160 |        160 |     _codecs
import time:       937 |       1097 |   codecs
import time:       856 |        856 |   encodings.aliases
import time:      2407 |       4359 | encodings
import time:       499 |        499 | encodings.utf_8
import time:        53 |         53 | _signal
import time:       100 |        100 |     _abc
import time:       648 |        747 |   abc
import time:       561 |       1308 | io
import time:        32 |         32 |       _stat
import time:      1233 |       1265 |     stat
import time:      1307 |       1307 |     _collections_abc
import time:       524 |        524 |       genericpath
import time:       464 |        988 |     posixpath
import time:       741 |       4300 |   os
import time:       416 |        416 |   _sitebuiltins
import time:      3021 |       3021 |   _distutils_hack
import time:       660 |        660 |   types
import time:       401 |        401 |       warnings
import time:       510 |        911 |     importlib
import time:       260 |        260 |     importlib._abc
import time:       280 |        280 |         itertools
import time:       394 |        394 |         keyword
import time:       557 |        557 |           _operator
import time:       342 |        898 |         operator
import time:       300 |        300 |         reprlib
import time:       179 |        179 |         _collections
import time:       972 |       3022 |       collections
import time:        90 |         90 |         _functools
import time:       755 |        845 |       functools
import time:       560 |       4426 |     contextlib
import time:       556 |       6151 |   importlib.util
import time:       383 |        383 |   importlib.machinery
import time:        38 |         38 |   sitecustomize
import time:        30 |         30 |   usercustomize
import time:      6770 |      21764 | site
import time:       709 |        709 |   app
import time:      1181 |       1181 |     starlette
import time:       512 |        512 |       __future__
import time:       594 |       1105 |     starlette.status
import time:       684 |        684 |       enum
import time:       640 |        640 |         collections.abc
import time:       177 |        177 |             _sre
import time:      1314 |       1314 |               sre_constants
import time:       401 |       1714 |             sre_parse
import time:       725 |       2615 |           sre_compile
import time:        37 |         37 |           _locale
import time:       256 |        256 |           copyreg
import time:       998 |       3904 |         re
import time:      1661 |       6204 |       typing
import time:       324 |        324 |               concurrent
import time:       474 |        474 |                         token
import time:       997 |       1470 |                       tokenize
import time:       501 |       1970 |                     linecache
import time:       613 |       2583 |                   traceback
import time:       278 |        278 |                     _weakrefset
import time:       683 |        960 |                   weakref
import time:        19 |         19 |                     _string
import time:       690 |        709 |                   string
import time:       624 |        624 |                   threading
import time:        20 |         20 |                   atexit
import time:      1486 |       6379 |                 logging
import time:       524 |       6903 |               concurrent.futures._base
import time:       334 |       7559 |             concurrent.futures
import time:      1618 |       1618 |               _heapq
import time:       424 |       2041 |             heapq
import time:      2077 |       2077 |               _socket
import time:      1260 |       1260 |                 math
import time:      1084 |       1084 |                 select
import time:      1081 |       3424 |               selectors
import time:        31 |         31 |               errno
import time:      1110 |       1110 |               array
import time:      1052 |       7691 |             socket
import time:       664 |        664 |               signal
import time:       926 |        926 |               fcntl
import time:        56 |         56 |               msvcrt
import time:      1434 |       1434 |               _posixsubprocess
import time:       706 |       3785 |             subprocess
import time:      5505 |       5505 |               _ssl
import time:      1593 |       1593 |                   _struct
import time:       257 |       1850 |                 struct
import time:      1171 |       1171 |                 binascii
import time:       531 |       3551 |               base64
import time:      2904 |      11959 |             ssl
import time:       277 |        277 |             asyncio.constants
import time:        40 |         40 |                   _ast
import time:       833 |        872 |                 ast
import time:      1165 |       1165 |                     _opcode
import time:       347 |       1511 |                   opcode
import time:       706 |       2216 |                 dis
