log_ts	candle_ts	symbol	slot	open	high	low	close	ema8	ema20_low	ema20_high	rsi	green	close_gt_ema8	close_ge_ema20_low	close_le_ema20_high	rsi_in_range	rsi_rising	buy_allowed
14:10:00	14:09:00	NIFTY25D2326300CE	14598402	9.40	9.40	9.20	9.30	9.41	9.38	9.57	48.60	False	False	False	True	False	False	False
14:10:03	14:09:00	NIFTY25D2325050PE	14580226	4.60	4.65	4.55	4.55	4.59	4.60	4.65	38.33	False	False	False	True	False	False	False
14:10:06	14:09:00	NIFTY25D2325700PE	14588674	60.15	61.45	60.00	61.35	60.72	59.91	61.49	34.53	True	True	True	True	False	False	False
14:10:09	14:09:00	NIFTY25D2325350PE	14583554	10.15	10.30	10.15	10.30	10.22	10.19	10.35	35.38	True	True	True	True	False	False	False
14:10:12	14:09:00	NIFTY25D2325250CE	14582274	580.50	580.50	580.50	580.50	580.50	580.50	580.50	100.00	False	False	True	True	False	False	False
14:10:15	14:09:00	NIFTY25D2325000CE	14579458	845.00	845.00	842.50	842.50	842.37	841.76	843.98	62.60	False	True	True	True	False	False	False
14:10:18	14:09:00	NIFTY25D2326600CE	14601730	3.50	3.55	3.50	3.50	3.55	3.58	3.60	13.33	False	False	False	True	False	False	False
14:10:21	14:09:00	NIFTY25D2326550PE	14601474	719.95	719.95	719.95	719.95	719.95	719.95	719.95	100.00	False	False	True	False	False	False	False
14:10:24	14:09:00	NIFTY25D2325400PE	14584066	12.95	13.15	12.90	13.05	12.98	12.88	13.17	33.68	True	True	True	True	False	False	False
14:10:27	14:09:00	NIFTY25D2325550PE	14585602	27.25	28.00	27.25	27.95	27.60	27.23	27.96	36.95	True	True	True	True	False	False	False
14:10:30	14:09:00	NIFTY25D2326150CE	14595330	22.25	22.25	21.80	21.95	22.17	21.89	22.48	59.87	False	False	True	True	False	False	False
14:10:33	14:09:00	NIFTY25D2325050CE	14579970	780.75	780.75	780.75	780.75	780.75	780.75	780.75	100.00	False	False	True	True	False	False	False
14:10:37	14:09:00	NIFTY25D2325200PE	14581762	6.10	6.20	6.10	6.15	6.16	6.18	6.24	26.67	True	False	False	True	False	False	False
14:10:39	14:09:00	NIFTY25D2325850CE	14590466	110.55	111.00	108.50	109.15	109.79	108.06	110.77	65.76	False	False	True	True	False	False	False
14:10:43	14:09:00	NIFTY25D2325900PE	14592514	147.10	150.00	146.90	149.95	148.74	147.46	150.48	33.15	True	True	True	True	False	False	False
14:10:45	14:09:00	NIFTY25D2325100PE	14580738	4.90	5.00	4.90	4.90	4.93	4.98	5.01	23.33	False	False	False	True	False	False	False
14:10:49	14:09:00	NIFTY25D2326300PE	14598658	468.40	472.00	468.40	471.75	470.69	469.65	472.75	22.56	True	True	True	True	False	False	False
14:10:52	14:09:00	NIFTY25D2325750CE	14588930	167.80	168.10	164.90	165.75	166.56	164.01	167.63	68.46	False	False	True	True	False	False	False
14:10:55	14:09:00	NIFTY25D2326500PE	14600962	660.30	660.30	660.30	660.30	663.11	664.64	665.80	34.88	False	False	False	True	False	False	False
14:10:58	14:09:00	NIFTY25D2325250PE	14582530	7.00	7.10	7.00	7.05	7.03	7.04	7.14	35.24	True	True	True	True	False	False	False
14:11:01	14:09:00	NIFTY25D2325700CE	14588418	201.30	201.55	197.85	198.50	199.73	197.17	200.95	67.87	False	False	True	True	False	False	False
14:11:03	14:09:00	NIFTY25D2325400CE	14583810	454.30	454.30	448.80	448.80	451.57	450.14	452.81	68.26	False	False	False	True	False	False	False
14:11:07	14:10:00	NIFTY25D2325250PE	14582530	7.05	7.05	7.05	7.05	7.04	7.03	7.14	52.38	False	True	True	True	False	False	False
14:11:09	14:09:00	NIFTY25D2325650PE	14588162	46.55	47.55	46.35	47.55	47.00	46.35	47.67	35.18	True	True	True	True	False	False	False
14:11:13	14:09:00	NIFTY25D2325900CE	14591490	87.75	88.25	86.15	86.70	87.24	85.96	88.16	65.22	False	False	True	True	False	False	False
14:11:16	14:09:00	NIFTY25D2326200PE	14597378	375.45	378.10	374.95	377.05	376.75	376.05	378.95	26.03	True	True	True	True	False	False	False
14:11:19	14:09:00	NIFTY25D2326000PE	14594050	212.20	215.50	212.05	215.20	214.03	212.77	216.81	31.73	True	True	True	True	False	False	False
14:11:22	14:09:00	NIFTY25D2326450CE	14600194	5.05	5.10	5.05	5.05	5.09	5.13	5.20	31.33	False	False	False	True	False	False	False
14:11:25	14:10:00	NIFTY25D2325050PE	14580226	4.55	4.60	4.55	4.60	4.59	4.59	4.64	46.67	True	True	True	True	False	False	False
14:11:28	14:10:00	NIFTY25D2326300CE	14598402	9.30	9.30	9.30	9.30	9.38	9.38	9.57	35.88	False	False	False	True	False	False	False
14:11:31	14:10:00	NIFTY25D2325200PE	14581762	6.10	6.10	6.10	6.10	6.14	6.17	6.24	36.67	False	False	False	True	False	False	False
14:11:35	14:09:00	NIFTY25D2325650CE	14587906	237.65	237.65	233.90	234.20	235.70	233.27	236.96	66.39	False	False	True	True	False	False	False
14:11:38	14:09:00	NIFTY25D2326400PE	14599938	562.30	567.65	562.30	567.60	567.47	566.21	566.96	47.07	True	True	True	False	False	False	False
14:11:41	14:09:00	NIFTY25D2326350PE	14599426	517.75	517.75	517.75	517.75	517.74	518.20	518.47	35.15	False	True	False	True	False	False	False
14:11:44	14:10:00	NIFTY25D2325250CE	14582274	580.50	580.50	580.50	580.50	580.50	580.50	580.50	100.00	False	False	True	True	False	False	False
14:11:47	14:09:00	NIFTY25D2325300PE	14583042	8.30	8.50	8.30	8.45	8.36	8.30	8.42	35.88	True	True	True	False	False	False	False
14:11:50	14:09:00	NIFTY25D2326100PE	14595074	289.10	292.90	288.90	292.20	291.17	289.88	294.35	34.33	True	True	True	True	False	False	False
14:11:53	14:09:00	NIFTY25D2325100CE	14580482	737.00	737.00	737.00	737.00	737.00	737.00	737.00	100.00	False	False	True	True	False	False	False
14:11:55	14:10:00	NIFTY25D2325050CE	14579970	780.75	780.75	780.75	780.75	780.75	780.75	780.75	100.00	False	False	True	True	False	False	False
14:11:58	14:10:00	NIFTY25D2325350PE	14583554	10.40	10.40	10.40	10.40	10.26	10.19	10.35	47.44	False	True	True	False	False	False	False
14:12:02	14:09:00	NIFTY25D2325450CE	14584322	410.90	410.90	410.90	410.90	406.75	403.89	405.35	69.47	False	True	True	False	False	False	False
14:12:05	14:10:00	NIFTY25D2326300PE	14598658	471.20	471.20	471.20	471.20	470.81	469.74	472.80	26.34	False	True	True	True	False	False	False
14:12:09	14:09:00	NIFTY25D2326550CE	14601218	3.90	3.90	3.85	3.90	3.90	3.86	3.94	16.67	False	True	True	True	False	False	False
14:12:12	14:09:00	NIFTY25D2325500CE	14584834	362.00	362.00	358.05	358.05	360.11	356.99	361.50	65.13	False	False	True	True	False	False	False
14:12:15	14:11:00	NIFTY25D2325050CE	14579970	780.75	780.75	780.75	780.75	780.75	780.75	780.75	100.00	False	False	True	True	False	False	False
14:12:18	14:10:00	NIFTY25D2325850CE	14590466	109.60	109.60	109.60	109.60	109.74	108.09	110.76	54.87	False	False	True	True	False	False	False
14:12:22	14:11:00	NIFTY25D2325200PE	14581762	6.15	6.15	6.10	6.10	6.13	6.17	6.23	38.33	False	False	False	True	False	False	False
14:12:25	14:09:00	NIFTY25D2326150PE	14596866	330.05	333.65	330.05	333.65	332.54	331.18	335.16	27.78	True	True	True	True	False	False	False
14:12:28	14:09:00	NIFTY25D2326200CE	14597122	16.60	16.65	16.30	16.40	16.60	16.45	16.85	56.76	False	False	False	True	False	False	False
14:12:31	14:09:00	NIFTY25D2326250PE	14598146	420.50	420.50	420.50	420.50	422.12	421.45	424.69	8.52	False	False	False	True	False	False	False
14:12:35	14:09:00	NIFTY25D2326500CE	14600706	4.35	4.35	4.30	4.30	4.35	4.39	4.41	18.33	False	False	False	True	False	False	False
14:12:39	14:11:00	NIFTY25D2325650PE	14588162	48.15	48.15	48.15	48.15	47.26	46.37	47.68	48.37	False	True	True	False	False	False	False
14:12:42	14:11:00	NIFTY25D2325250CE	14582274	580.50	580.50	580.50	580.50	580.50	580.50	580.50	100.00	False	False	True	True	False	False	False
14:12:45	14:10:00	NIFTY25D2325400PE	14584066	13.20	13.20	13.20	13.20	13.03	12.88	13.17	46.30	False	True	True	False	False	False	False
14:12:49	14:11:00	NIFTY25D2325300PE	14583042	8.45	8.45	8.45	8.45	8.38	8.30	8.42	50.17	False	True	True	False	False	False	False
14:12:51	14:09:00	NIFTY25D2326600PE	14601986	777.95	777.95	777.95	777.95	777.95	777.95	777.95	100.00	False	False	True	False	False	False	False
14:12:55	14:11:00	NIFTY25D2325250PE	14582530	7.05	7.05	7.05	7.05	7.04	7.03	7.13	65.71	False	True	True	True	False	False	False
14:12:58	14:11:00	NIFTY25D2325700CE	14588418	197.45	197.45	197.45	197.45	199.23	197.18	200.92	54.95	False	False	True	True	False	False	False
14:13:01	14:11:00	NIFTY25D2325100CE	14580482	740.40	740.40	740.40	740.40	737.76	737.04	737.04	100.00	False	True	True	False	False	False	False
14:13:04	14:10:00	NIFTY25D2326600CE	14601730	3.55	3.55	3.50	3.50	3.54	3.58	3.60	6.67	False	False	False	True	False	False	False
14:13:07	14:09:00	NIFTY25D2325200CE	14581506	647.95	647.95	647.95	647.95	645.08	639.09	639.55	100.00	False	True	True	False	False	False	False
14:13:10	14:09:00	NIFTY25D2326250CE	14597634	12.40	12.40	12.25	12.25	12.45	12.36	12.63	58.23	False	False	False	True	False	False	False
14:13:13	14:10:00	NIFTY25D2325100PE	14580738	4.85	4.85	4.85	4.85	4.91	4.97	5.00	25.00	False	False	False	True	False	False	False
14:13:17	14:09:00	NIFTY25D2325150PE	14581250	5.40	5.45	5.40	5.40	5.44	5.45	5.53	30.67	False	False	False	True	False	False	False
14:13:20	14:11:00	NIFTY25D2326450CE	14600194	5.05	5.05	5.05	5.05	5.08	5.13	5.19	21.33	False	False	False	True	False	False	False
14:13:23	14:09:00	NIFTY25D2325850PE	14590722	120.05	122.50	119.70	122.20	121.29	120.09	123.05	32.92	True	True	True	True	False	False	False
14:13:26	14:12:00	NIFTY25D2325450CE	14584322	401.40	401.40	401.40	401.40	405.56	403.72	405.38	63.76	False	False	False	True	False	False	False
14:13:29	14:09:00	NIFTY25D2326050PE	14594562	249.65	253.30	249.45	252.80	251.23	250.11	252.95	32.05	True	True	True	True	False	False	False
14:13:32	14:09:00	NIFTY25D2325600CE	14585858	276.70	276.70	272.65	274.25	275.07	271.89	276.38	68.05	False	False	True	True	False	False	False
14:13:35	14:12:00	NIFTY25D2325300PE	14583042	8.30	8.30	8.30	8.30	8.36	8.30	8.42	52.67	False	False	False	True	False	False	False
14:13:38	14:10:00	NIFTY25D2325750CE	14588930	165.85	165.85	165.85	165.85	166.40	164.05	167.62	57.85	False	False	True	True	False	False	False
14:13:42	14:12:00	NIFTY25D2325850CE	14590466	107.60	107.60	107.60	107.60	109.27	108.13	110.74	45.35	False	False	False	True	False	False	False
14:13:44	14:11:00	NIFTY25D2326400PE	14599938	571.20	571.20	571.20	571.20	568.30	566.40	567.32	36.64	False	True	True	False	False	False	False
14:13:47	14:11:00	NIFTY25D2325350PE	14583554	10.25	10.25	10.25	10.25	10.26	10.19	10.35	51.44	False	False	True	True	False	False	False
14:13:51	14:09:00	NIFTY25D2325350CE	14583298	501.15	501.15	501.15	501.15	499.64	490.34	499.28	96.81	False	True	True	False	False	False	False
14:13:54	14:11:00	NIFTY25D2326350PE	14599426	522.65	522.65	522.65	522.65	518.83	518.18	518.49	55.15	False	True	True	False	False	False	False
