trade_id,symbol,entry_time,direction,option_type,entry_fut_px,entry_rsi,strike,entry_opt_px,init_sl_dist,dyn_threshold,st_flip_exit,st_flip_fut_pnl,st_flip_opt_pnl,st_flip_bars,bos_exit,bos_fut_pnl,bos_opt_pnl,bos_bars,range_exit,range_fut_pnl,range_opt_pnl,range_bars,st20_exit,st20_fut_pnl,st20_opt_pnl,st20_bars,st30_exit,st30_fut_pnl,st30_opt_pnl,st30_bars,momentum_v1_exit,momentum_v1_fut_pnl,momentum_v1_opt_pnl,momentum_v1_bars,rsi_exhaust_exit,rsi_exhaust_fut_pnl,rsi_exhaust_opt_pnl,rsi_exhaust_bars,swing_bos_exit,swing_bos_fut_pnl,swing_bos_opt_pnl,swing_bos_bars,tiered_exit,tiered_fut_pnl,tiered_opt_pnl,tiered_bars
1,BANKNIFTY26APRFUT,2026-01-30 13:18,SHORT,PE,60564.0,21.54,60600,2534.76,27.37,13.68,2026-01-30 13:39,-31.0,-13.35,7,2026-01-30 13:36,6.6,2.67,6,2026-01-30 13:30,64.0,27.28,4,2026-01-30 13:36,6.6,2.67,6,2026-01-30 13:36,6.6,2.67,6,2026-01-30 13:39,-31.0,-13.35,7,2026-01-30 13:39,-31.0,-13.35,7,2026-01-30 13:39,-31.0,-13.35,7,2026-01-30 13:39,-31.0,-13.35,7
2,BANKNIFTY26APRFUT,2026-02-01 09:51,SHORT,PE,60450.0,32.96,60400,2468.83,166.44,83.22,2026-02-01 09:57,-107.6,-45.18,2,2026-02-01 09:57,-107.6,-45.18,2,2026-02-01 09:57,-107.6,-45.18,2,2026-02-01 09:57,-107.6,-45.18,2,2026-02-01 09:57,-107.6,-45.18,2,2026-02-01 09:57,-107.6,-45.18,2,2026-02-01 09:57,-107.6,-45.18,2,2026-02-01 09:57,-107.6,-45.18,2,2026-02-01 09:57,-107.6,-45.18,2
3,BANKNIFTY26APRFUT,2026-02-01 11:57,SHORT,PE,60347.0,19.41,60300,2464.97,134.8,67.4,2026-02-01 12:09,-245.6,-102.27,4,2026-02-01 12:03,-53.0,-22.37,2,2026-02-01 12:09,-245.6,-102.27,4,2026-02-01 12:09,-245.6,-102.27,4,2026-02-01 12:09,-245.6,-102.27,4,2026-02-01 12:09,-245.6,-102.27,4,2026-02-01 12:09,-245.6,-102.27,4,2026-02-01 12:09,-245.6,-102.27,4,2026-02-01 12:09,-245.6,-102.27,4
4,BANKNIFTY26APRFUT,2026-02-01 12:18,SHORT,PE,60237.8,30.37,60200,2464.57,191.64,95.82,2026-02-01 12:39,407.8,176.75,7,2026-02-01 12:39,407.8,176.75,7,2026-02-01 12:21,204.8,87.72,1,2026-02-01 12:39,407.8,176.75,7,2026-02-01 12:39,407.8,176.75,7,2026-02-01 12:39,407.8,176.75,7,2026-02-01 12:39,407.8,176.75,7,2026-02-01 12:39,407.8,176.75,7,2026-02-01 12:39,407.8,176.75,7
5,BANKNIFTY26APRFUT,2026-02-01 14:51,SHORT,PE,59688.4,32.79,59700,2463.72,201.29,100.65,2026-02-01 15:27,350.2,152.08,12,2026-02-01 15:27,350.2,152.08,12,2026-02-01 15:00,79.0,33.72,3,2026-02-01 15:27,350.2,152.08,12,2026-02-01 15:27,350.2,152.08,12,2026-02-01 15:27,350.2,152.08,12,2026-02-01 15:27,350.2,152.08,12,2026-02-01 15:27,350.2,152.08,12,2026-02-01 15:27,350.2,152.08,12
6,BANKNIFTY26APRFUT,2026-02-03 09:18,LONG,CE,60813.0,92.51,60800,3417.76,89.67,44.83,2026-02-03 10:15,-98.0,-56.97,19,2026-02-03 09:36,81.8,46.92,6,2026-02-03 09:24,146.0,84.41,2,2026-02-03 09:48,-88.0,-50.85,10,2026-02-03 09:48,-88.0,-50.85,10,2026-02-03 09:48,-88.0,-50.85,10,2026-02-03 10:15,-98.0,-56.97,19,2026-02-03 10:15,-98.0,-56.97,19,2026-02-03 09:48,-88.0,-50.85,10
7,BANKNIFTY26APRFUT,2026-02-03 10:39,LONG,CE,60965.0,73.86,61000,3400.18,130.75,65.37,2026-02-03 11:51,26.2,13.89,24,2026-02-03 10:45,-10.0,-5.81,2,2026-02-03 10:45,-10.0,-5.81,2,2026-02-03 11:48,35.0,18.99,23,2026-02-03 11:48,35.0,18.99,23,2026-02-03 11:12,-15.0,-9.09,11,2026-02-03 11:48,35.0,18.99,23,2026-02-03 11:51,26.2,13.89,24,2026-02-03 11:12,-15.0,-9.09,11
8,BANKNIFTY26APRFUT,2026-02-06 10:12,SHORT,PE,60766.0,30.5,60800,2461.91,96.07,48.04,2026-02-06 10:21,-61.0,-26.14,3,2026-02-06 10:18,-37.8,-16.22,2,2026-02-06 10:18,-37.8,-16.22,2,2026-02-06 10:18,-37.8,-16.22,2,2026-02-06 10:18,-37.8,-16.22,2,2026-02-06 10:21,-61.0,-26.14,3,2026-02-06 10:21,-61.0,-26.14,3,2026-02-06 10:21,-61.0,-26.14,3,2026-02-06 10:21,-61.0,-26.14,3
9,BANKNIFTY26APRFUT,2026-02-06 10:30,SHORT,PE,60725.0,32.4,60700,2432.53,121.48,60.74,2026-02-06 11:09,45.0,18.89,13,2026-02-06 10:51,83.6,35.61,7,2026-02-06 11:09,45.0,18.89,13,2026-02-06 11:06,48.0,20.2,12,2026-02-06 11:03,73.0,30.95,11,2026-02-06 10:51,83.6,35.61,7,2026-02-06 11:06,48.0,20.2,12,2026-02-06 11:09,45.0,18.89,13,2026-02-06 10:51,83.6,35.61,7
10,BANKNIFTY26APRFUT,2026-02-06 12:33,SHORT,PE,60675.0,34.37,60700,2452.85,79.23,39.62,2026-02-06 12:48,-75.0,-32.11,5,2026-02-06 12:39,-15.0,-6.47,2,2026-02-06 12:48,-75.0,-32.11,5,2026-02-06 12:48,-75.0,-32.11,5,2026-02-06 12:39,-15.0,-6.47,2,2026-02-06 12:48,-75.0,-32.11,5,2026-02-06 12:48,-75.0,-32.11,5,2026-02-06 12:48,-75.0,-32.11,5,2026-02-06 12:48,-75.0,-32.11,5
